rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank.1,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,Fun Rk,adjt,TeamID
1,Duke,ACC,29-2,128.62552694763164,5,90.72444620340984,1,0.9822664117244256,1,29.0,2.0,17.0,1.0,17-1,0.7251562217821178,0.6285605985319946,0.7949197274627623,0.7251562217821178,0.6285605985319946,0.7949197274627623,0.6298015385398004,0.6321526224707397,117.00392850223832,104.05572759587476,117.00392850223832,104.05572759587476,129.24916937532984,91.12499621546742,127.01684416710803,88.5641722112335,0.984431452320153,18.0,0.0567683885893721,1457.0,1123.0,1174.9625,1.2400395757311404,0.9557751843143932,0.0,0.9444444444444444,12.01068181970773,2,58,65.88876107077377,1181
2,Michigan,B10,29-2,129.43517487622827,4,91.98995328785554,3,0.9806829159199304,2,29.0,2.0,19.0,1.0,19-1,0.7853406454079126,0.7291136317455149,0.8162655029222312,0.7853406454079126,0.7291136317455149,0.8162655029222312,0.6107114270638804,0.6647834665518139,118.90743868447504,103.19205529837382,118.90743868447504,103.19205529837382,129.24848340151198,94.0502521027712,129.29405062301726,89.09566628725767,0.9863780017644348,19.0,0.0749927512355779,1719.0,1418.0,1400.3750000000002,1.2275283406230473,1.0125859144871907,0.0,0.95,12.82689468385058,1,35,71.69417130122066,1276
3,Florida,SEC,25-6,127.218844279107,8,92.53653721191756,4,0.9749255098854962,3,25.0,6.0,16.0,2.0,16-2,0.7429495986835432,0.6167144825844084,0.8341194047551403,0.7429495986835432,0.6167144825844084,0.8341194047551403,0.6288529651310651,0.6894377383505315,118.83103953196768,105.39639140157632,118.83103953196768,105.39639140157632,129.0133421104625,91.82208406774556,128.6584080331927,92.47013384502542,0.9780794111839358,17.0,-0.0346801256459756,1613.0,1307.0,1303.2875,1.2376394310541612,1.0028485656464905,0.0,0.8888888888888888,8.135800870887167,5,259,70.61905350401494,1196
4,Arizona,B12,29-2,125.82463871768668,13,91.76799361750705,2,0.9741610696452956,4,29.0,2.0,16.0,2.0,16-2,0.7183679209795859,0.5595426353894359,0.8330750716835834,0.7183679209795859,0.5595426353894359,0.8330750716835834,0.6424054815758811,0.7240993889772811,117.14783461522072,104.78158577049764,117.14783461522072,104.78158577049764,125.88357361525776,91.4221532199136,124.84090031661567,90.07394130093428,0.9771056829304924,17.0,0.0915651895253287,1513.0,1265.0,1284.0875,1.178268614872429,0.9851353587664392,0.0,0.8888888888888888,11.587201399716374,3,19,70.3252190453727,1112
5,Houston,B12,26-5,125.89491668772538,11,93.83919867400373,5,0.9670559709671338,5,26.0,5.0,14.0,4.0,14-4,0.7076604291300467,0.5343649979025439,0.8328182405721315,0.7076604291300467,0.5343649979025439,0.8328182405721315,0.6658507473188812,0.798313504540845,116.368919252883,105.2561110423562,116.368919252883,105.2561110423562,126.83839565697588,93.33863472598952,127.8450958603694,96.9210240536813,0.9602511183927884,13.0,0.0064177855280894,1384.0,1165.0,1162.3625000000002,1.1906784673456,1.0022690855907683,0.0,0.7777777777777778,7.831395766617529,6,157,63.394798049294295,1222
6,Illinois,B10,24-7,132.45792669978334,1,98.92542400495576,24,0.966327979306009,6,24.0,7.0,15.0,5.0,15-5,0.7271709687235705,0.5768501611837973,0.8098474128704456,0.7271709687235705,0.5768501611837973,0.8098474128704456,0.6314625302757493,0.7238232136095414,117.44758895273756,104.32915201218329,117.44758895273756,104.32915201218329,132.91066345709115,99.49681836139516,132.7092932627161,100.64391698628896,0.9600969293366932,16.0,-0.0296783872598699,1633.0,1416.0,1312.4,1.244285278878391,1.0789393477598292,0.0,0.75,6.875194584224985,10,250,65.65118086475862,1228
7,Connecticut,BE,27-4,123.95668862624711,24,95.70120654387848,11,0.9514348539622274,7,27.0,4.0,17.0,3.0,17-3,0.7018356835314028,0.5843835477591888,0.7664343582061205,0.7018356835314028,0.5843835477591888,0.7664343582061205,0.6786034058253593,0.6545046336507002,115.08890263526138,104.59212461926502,115.08890263526138,104.59212461926502,122.85720536601768,95.57785848331368,125.0242000776272,90.66237338694714,0.9757714403964324,10.0,0.0782131325889891,1554.0,1343.0,1335.8125,1.163336920413606,1.005380620408927,0.0,0.85,8.471586336092015,4,27,65.00916412022774,1163
8,Purdue,B10,23-8,131.6862550720607,2,101.69896863105696,39,0.9512771984255192,8,23.0,8.0,13.0,7.0,13-7,0.7593198590868178,0.620196268272687,0.8358378340345896,0.7593198590868178,0.620196268272687,0.8358378340345896,0.6166284716678179,0.7325061289849155,118.6131373336507,104.07050269505967,118.6131373336507,104.07050269505967,131.82356873001774,101.98597475184924,133.35290462441958,101.30191897971574,0.9593507861158018,17.0,-0.0039705543699734,1596.0,1455.0,1300.375,1.2273382678073632,1.1189080073055848,0.0,0.65,6.540966843282093,13,183,64.9472542001945,1345
9,Iowa St.,B12,25-6,122.84596364715182,28,95.0229854964148,9,0.950421246419482,9,25.817358282700145,6.182641717299855,12.0,6.0,12-6,0.6728813966940926,0.4580346255690654,0.8280485091732793,0.6771893155444719,0.4580346255690654,0.8280485091732793,0.6785619632861635,0.806991898773766,114.60780968033274,105.07225742186868,114.68640971851188,105.01391795498988,120.92820879411616,94.4888790948092,117.81522507297848,97.37505289011578,0.8994651429259459,12.0,0.0201963679081751,1360.0,1221.0,1200.275,1.1330736706171505,1.0172668763408386,0.0,0.6666666666666666,6.342335603000562,14,124,67.16054832488267,1235
10,Michigan St.,B10,25-6,122.80596905318885,29,95.98685450223444,12,0.9444613340056256,10,25.0,6.0,15.0,5.0,15-5,0.7347511020298887,0.575583937136647,0.8222930427211714,0.7347511020298887,0.575583937136647,0.8222930427211714,0.632925884195864,0.7666750342033016,118.96891878470076,105.01102304789192,118.96891878470076,105.01102304789192,122.90377374888222,95.27849542121268,122.8492128973766,92.9288164047463,0.9612060663101618,17.0,0.0759433586039877,1539.0,1368.0,1323.2625,1.1630345452999689,1.033808484711083,0.0,0.75,7.828438420319246,7,32,65.8191945729678,1277
11,Texas Tech,B12,22-9,127.51142728640866,7,99.72744357812438,27,0.9440805107791084,11,22.0,9.0,12.0,6.0,12-6,0.7487820541444372,0.6398761476425457,0.8274363199513588,0.7487820541444372,0.6398761476425457,0.8274363199513588,0.6194714755312796,0.6935747560787109,118.57068203230676,103.95419641889828,118.57068203230676,103.95419641889828,128.35913030819668,98.42434205134012,128.52800099862316,100.74273529611366,0.9427369643317808,16.0,-0.0043190813297143,1431.0,1298.0,1207.6,1.1849950314673732,1.0748592249089102,0.0,0.6666666666666666,5.19316824123256,20,184,66.40521813529847,1403
12,Gonzaga,WCC,29-3,120.23503871775436,45,94.34882017714344,7,0.9420332901002786,12,29.66112785847788,3.338872141522123,16.0,2.0,16-2,0.6146141646056335,0.6356531208289186,0.6056466628630206,0.6230445633598031,0.6356531208289186,0.6056466628630206,0.754510772760602,0.7122225847587712,113.6843456632322,107.36275315150708,114.02914752975022,107.26113713485422,118.32922786677764,94.88701664485306,121.28686005163888,93.65488036387308,0.9513500987135856,9.0,0.073046520367329,1465.0,1177.0,1247.2875000000004,1.1745487708327067,0.9436477155427274,0.0,0.8888888888888888,6.83798218053393,11,37,69.26010892430496,1211
