ID,Pred
2026_1101_1102,0.5
2026_1101_1103,0.5
2026_1101_1104,0.5
2026_1101_1105,0.5
2026_1101_1106,0.5
2026_1101_1107,0.5
2026_1101_1108,0.5
2026_1101_1110,0.5
2026_1101_1111,0.5
2026_1101_1112,0.5
2026_1101_1113,0.5
2026_1101_1114,0.5
2026_1101_1115,0.5
2026_1101_1116,0.5
2026_1101_1117,0.5
2026_1101_1119,0.5
2026_1101_1120,0.5
2026_1101_1122,0.5
2026_1101_1123,0.5
2026_1101_1124,0.5
2026_1101_1125,0.5
2026_1101_1126,0.5
2026_1101_1127,0.5
2026_1101_1129,0.5
2026_1101_1130,0.5
2026_1101_1131,0.5
2026_1101_1132,0.5
2026_1101_1133,0.5
2026_1101_1135,0.5
2026_1101_1136,0.5
2026_1101_1137,0.5
2026_1101_1138,0.5
2026_1101_1139,0.5
2026_1101_1140,0.5
2026_1101_1141,0.5
2026_1101_1142,0.5
2026_1101_1143,0.5
2026_1101_1144,0.5
2026_1101_1145,0.5
2026_1101_1146,0.5
2026_1101_1148,0.5
2026_1101_1149,0.5
2026_1101_1150,0.5
2026_1101_1151,0.5
2026_1101_1152,0.5
2026_1101_1153,0.5
2026_1101_1154,0.5
2026_1101_1155,0.5
2026_1101_1156,0.5
2026_1101_1157,0.5
2026_1101_1158,0.5
2026_1101_1159,0.5
2026_1101_1160,0.5
2026_1101_1161,0.5
2026_1101_1162,0.5
2026_1101_1163,0.5
2026_1101_1164,0.5
2026_1101_1165,0.5
2026_1101_1166,0.5
2026_1101_1167,0.5
2026_1101_1168,0.5
2026_1101_1169,0.5
2026_1101_1170,0.5
2026_1101_1171,0.5
2026_1101_1172,0.5
2026_1101_1173,0.5
2026_1101_1174,0.5
2026_1101_1175,0.5
2026_1101_1176,0.5
2026_1101_1177,0.5
2026_1101_1178,0.5
2026_1101_1179,0.5
2026_1101_1180,0.5
2026_1101_1181,0.5
2026_1101_1182,0.5
2026_1101_1183,0.5
2026_1101_1184,0.5
2026_1101_1185,0.5
2026_1101_1186,0.5
2026_1101_1187,0.5
2026_1101_1188,0.5
2026_1101_1189,0.5
2026_1101_1190,0.5
2026_1101_1191,0.5
2026_1101_1192,0.5
2026_1101_1193,0.5
2026_1101_1194,0.5
2026_1101_1195,0.5
2026_1101_1196,0.5
2026_1101_1197,0.5
2026_1101_1198,0.5
2026_1101_1199,0.5
2026_1101_1200,0.5
2026_1101_1201,0.5
2026_1101_1202,0.5
2026_1101_1203,0.5
2026_1101_1204,0.5
2026_1101_1205,0.5
2026_1101_1206,0.5
2026_1101_1207,0.5
2026_1101_1208,0.5
2026_1101_1209,0.5
2026_1101_1210,0.5
2026_1101_1211,0.5
2026_1101_1212,0.5
2026_1101_1213,0.5
2026_1101_1214,0.5
2026_1101_1217,0.5
2026_1101_1218,0.5
2026_1101_1219,0.5
2026_1101_1220,0.5
2026_1101_1221,0.5
2026_1101_1222,0.5
2026_1101_1223,0.5
2026_1101_1224,0.5
2026_1101_1225,0.5
2026_1101_1226,0.5
2026_1101_1227,0.5
2026_1101_1228,0.5
2026_1101_1229,0.5
2026_1101_1230,0.5
2026_1101_1231,0.5
2026_1101_1232,0.5
2026_1101_1233,0.5
2026_1101_1234,0.5
2026_1101_1235,0.5
2026_1101_1236,0.5
2026_1101_1237,0.5
2026_1101_1238,0.5
2026_1101_1239,0.5
2026_1101_1240,0.5
2026_1101_1241,0.5
2026_1101_1242,0.5
2026_1101_1243,0.5
2026_1101_1244,0.5
2026_1101_1245,0.5
2026_1101_1246,0.5
2026_1101_1247,0.5
2026_1101_1248,0.5
2026_1101_1249,0.5
2026_1101_1250,0.5
2026_1101_1251,0.5
2026_1101_1252,0.5
2026_1101_1253,0.5
2026_1101_1254,0.5
2026_1101_1255,0.5
2026_1101_1256,0.5
2026_1101_1257,0.5
2026_1101_1258,0.5
2026_1101_1259,0.5
2026_1101_1260,0.5
2026_1101_1261,0.5
2026_1101_1262,0.5
2026_1101_1263,0.5
2026_1101_1264,0.5
2026_1101_1265,0.5
2026_1101_1266,0.5
2026_1101_1267,0.5
2026_1101_1268,0.5
2026_1101_1269,0.5
2026_1101_1270,0.5
2026_1101_1271,0.5
2026_1101_1272,0.5
2026_1101_1273,0.5
2026_1101_1274,0.5
2026_1101_1275,0.5
2026_1101_1276,0.5
2026_1101_1277,0.5
2026_1101_1278,0.5
2026_1101_1279,0.5
2026_1101_1280,0.5
2026_1101_1281,0.5
2026_1101_1282,0.5
2026_1101_1283,0.5
2026_1101_1284,0.5
2026_1101_1285,0.5
2026_1101_1286,0.5
2026_1101_1287,0.5
2026_1101_1288,0.5
2026_1101_1290,0.5
2026_1101_1291,0.5
2026_1101_1292,0.5
2026_1101_1293,0.5
2026_1101_1294,0.5
2026_1101_1295,0.5
2026_1101_1296,0.5
2026_1101_1297,0.5
2026_1101_1298,0.5
2026_1101_1299,0.5
2026_1101_1300,0.5
2026_1101_1301,0.5
2026_1101_1303,0.5
2026_1101_1304,0.5
2026_1101_1305,0.5
2026_1101_1306,0.5
2026_1101_1307,0.5
2026_1101_1308,0.5
2026_1101_1309,0.5
2026_1101_1310,0.5
2026_1101_1311,0.5
2026_1101_1312,0.5
2026_1101_1313,0.5
2026_1101_1314,0.5
2026_1101_1315,0.5
2026_1101_1316,0.5
2026_1101_1317,0.5
2026_1101_1318,0.5
2026_1101_1319,0.5
2026_1101_1320,0.5
2026_1101_1321,0.5
2026_1101_1322,0.5
2026_1101_1323,0.5
2026_1101_1324,0.5
2026_1101_1325,0.5
2026_1101_1326,0.5
2026_1101_1328,0.5
2026_1101_1329,0.5
2026_1101_1330,0.5
2026_1101_1331,0.5
2026_1101_1332,0.5
2026_1101_1333,0.5
2026_1101_1334,0.5
2026_1101_1335,0.5
2026_1101_1336,0.5
2026_1101_1337,0.5
2026_1101_1338,0.5
2026_1101_1339,0.5
2026_1101_1340,0.5
2026_1101_1341,0.5
2026_1101_1342,0.5
2026_1101_1343,0.5
2026_1101_1344,0.5
2026_1101_1345,0.5
2026_1101_1346,0.5
2026_1101_1347,0.5
2026_1101_1348,0.5
2026_1101_1349,0.5
2026_1101_1350,0.5
2026_1101_1351,0.5
2026_1101_1352,0.5
2026_1101_1353,0.5
2026_1101_1354,0.5
2026_1101_1355,0.5
2026_1101_1356,0.5
2026_1101_1357,0.5
2026_1101_1358,0.5
2026_1101_1359,0.5
2026_1101_1360,0.5
2026_1101_1361,0.5
2026_1101_1362,0.5
2026_1101_1363,0.5
2026_1101_1364,0.5
2026_1101_1365,0.5
2026_1101_1367,0.5
2026_1101_1368,0.5
2026_1101_1369,0.5
2026_1101_1370,0.5
2026_1101_1371,0.5
2026_1101_1372,0.5
2026_1101_1373,0.5
2026_1101_1374,0.5
